Concurso,Dia,Mês,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Ganhadores 5 acertos,Ganhadores 4 acertos,Rateio 6 acertos,Rateio 5 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada
2173,27,7,2019,2,9,42,44,48,50,0,51,3884,0,35892.64,673.28,6019424.06,31749879,10000000,59703903.99
1752,17,10,2015,9,36,37,53,55,60,0,70,5668,0,49588.74,874.88,39046695.13,59290882,46000000,59673575.98
1343,7,12,2011,19,20,31,42,51,56,0,58,6113,0,50455.78,683.89,31130032.72,49985698,37000000,59660486.92
1877,16,11,2016,13,16,23,24,32,35,0,90,4306,0,15617,466.3,5218982.82,24378487,8400000,59579800.64
1557,17,12,2013,4,16,18,31,45,46,0,123,8744,0,20612.58,414.21,38253558.38,43305632,44000000,59536533.35
1243,22,12,2010,9,19,23,29,32,57,0,139,8401,0,15365.51,363.18,29616886.54,36481150,34000000,59481097.3
2413,28,9,2021,3,22,37,40,41,48,0,12,1759,0,114924.54,1120.03,9475739.63,23919565.5,12800000,59397589.58
1973,30,9,2017,1,12,16,17,52,60,0,110,7294,0,32691.06,704.3,47107945.05,62371778,55000000,59255915.41
2097,14,11,2018,9,24,28,45,49,51,0,113,6422,0,25984.88,653.17,32589388.72,50929053,37000000,59247583.38
2172,24,7,2019,9,24,28,37,43,57,0,73,3356,0,19687.16,611.76,2647404.63,24927133,6000000,59222186.91
1876,12,11,2016,7,18,39,41,44,51,0,23,2308,0,62070.94,883.65,2629847.55,24761821,5800000,59209924.16
2731,1,6,2024,4,12,32,45,49,58,0,126,9008,0,45794.77,915.08,82571747.91,100079640,95000000,59141234.81
2412,25,9,2021,9,16,34,36,49,60,0,37,3285,0,59039.36,949.97,6935302.38,37888083,10000000,59034669.97
2295,2,9,2020,6,13,26,28,35,41,0,162,9693,0,33025.53,788.51,82386315.18,92794887,95000000,59001715.04
